"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000164162"	-1.09982906357197	4.43525365631126	57.2677831182471	5.95367999280864e-08	7.50947058040311e-06
"ENSG00000198901"	1.69942085413892	2.75902550309269	57.0745036717805	6.13550569829201e-08	7.69829288269989e-06
"ENSG00000154719"	-0.973818931028328	4.60809456415401	56.9981191670937	6.20900881079635e-08	7.74994250785076e-06
"ENSG00000101115"	2.20210600128436	2.09582188286798	56.7383405147122	6.4661892033481e-08	8.00843579137622e-06
"ENSG00000213203"	-1.49565670066219	4.64320691872378	56.7218092498077	6.48293988536193e-08	8.00843579137622e-06
"ENSG00000153201"	1.29083377640769	4.66669357724574	56.6700184020413	6.53572215511177e-08	8.032234946013e-06
"ENSG00000124788"	1.06550428191302	6.0932097427504	56.6013781193012	6.60639253741547e-08	8.07766312036539e-06
"ENSG00000136518"	-1.25144678139519	4.01160240264984	56.4360967763883	6.77997022216552e-08	8.2478165672181e-06
"ENSG00000187837"	1.2424591516975	5.39341701996127	56.3527989305403	6.86930985503942e-08	8.31429346848584e-06
"ENSG00000104825"	1.00149551293605	4.1787223628276	56.0148978700038	7.24497398268543e-08	8.72491464799279e-06
"ENSG00000244451"	1.46664242852009	3.96434568870522	55.9475208638228	7.32250066113663e-08	8.77418641720697e-06
"ENSG00000152465"	-1.14163437511673	4.02192831896834	55.821327069227	7.47012483542336e-08	8.90654436223487e-06
"ENSG00000182866"	-1.29003362942707	5.92424036038545	55.6829585864546	7.63569311508232e-08	9.03296242056602e-06
"ENSG00000197329"	2.25013003036485	4.67246983600215	55.6397563171617	7.68819619412024e-08	9.03296242056602e-06
"ENSG00000129480"	-0.955356452745838	2.84325915562826	55.6389076026181	7.68923152011462e-08	9.03296242056602e-06
"ENSG00000107968"	2.05408949909696	6.0253612634787	55.5047059098875	7.85485020541572e-08	9.17539904477635e-06
"ENSG00000069399"	2.14990542905247	3.8441163063318	55.4729807952544	7.89456252789724e-08	9.17539904477635e-06
"ENSG00000120915"	-1.90224318091842	3.23215829540936	55.4485122060037	7.92533946283624e-08	9.17539904477635e-06
"ENSG00000114737"	-1.58875731175688	3.78999922744748	54.9288011095198	8.6106012234782e-08	9.91783296756784e-06
"ENSG00000111674"	-1.53796277970348	5.48530785442176	54.8721680594923	8.68905453356321e-08	9.91783296756784e-06
"ENSG00000151553"	1.40382834396631	3.33909467817572	54.8438294874494	8.72860114278255e-08	9.91783296756784e-06
"ENSG00000165591"	-1.64918008825958	1.87765631288921	54.8412842343364	8.73216255437853e-08	9.91783296756784e-06
"ENSG00000236325"	-1.69309848072311	2.41837954829436	54.5743567017034	9.11451203562803e-08	1.03032679685767e-05
"ENSG00000196405"	-1.03051013008975	6.54411620291329	54.4990793546092	9.22557980574656e-08	1.03798600959961e-05
"ENSG00000113558"	-0.734677606416895	9.15969936845851	54.2933126664452	9.53670261858309e-08	1.06797700118852e-05
"ENSG00000127419"	-0.817346041260681	4.93559166091716	54.2406709016686	9.61810510481358e-08	1.07208320389236e-05
"ENSG00000168028"	-0.921563345566165	10.779674241911	54.2098471366723	9.66611737192433e-08	1.07244677230633e-05
"ENSG00000167378"	1.21959817406748	3.44940013127781	54.0823757417181	9.86743729643306e-08	1.08973794842866e-05
"ENSG00000162739"	-1.2119212851349	4.11669903321606	53.9767488974327	1.00376882300477e-07	1.10105074327299e-05
"ENSG00000233586"	-1.77107999224792	1.62187444594496	53.9433036827138	1.0092254745023e-07	1.10105074327299e-05
"ENSG00000131368"	-0.71750043210895	5.29445371007965	53.9338689488855	1.0107705550597e-07	1.10105074327299e-05
"ENSG00000151893"	0.936386653962628	5.17633177701238	53.8112292695097	1.03108871473881e-07	1.11334622865344e-05
"ENSG00000122873"	-1.00128501477114	4.32782884549331	53.8096733068013	1.03134931258528e-07	1.11334622865344e-05
"ENSG00000174010"	1.6096686611674	1.85803301771419	53.5584669340605	1.07436954528381e-07	1.15458592613123e-05
"ENSG00000136238"	0.942779924728827	6.24408580631507	53.5178044000107	1.0815135601408e-07	1.15707466378456e-05
"ENSG00000111647"	1.25272852924193	3.87820811524091	53.251199861634	1.12964299653655e-07	1.20063927150104e-05
"ENSG00000119682"	1.03060893703744	4.92742402807015	53.237093565364	1.13225318322235e-07	1.20063927150104e-05
"ENSG00000162783"	1.26132401517405	3.60543231130275	53.1070737599978	1.15662059957304e-07	1.21664242182012e-05
"ENSG00000177721"	-0.984338791570295	5.63182869761154	53.1024457547115	1.15749831911115e-07	1.21664242182012e-05
"ENSG00000084070"	1.01729294123273	6.14004384606196	53.0606502777782	1.16545765018819e-07	1.21965906492402e-05
"ENSG00000205476"	1.22957297796632	3.23585973126519	52.9083911170863	1.19495671759486e-07	1.24509294509395e-05
"ENSG00000126262"	3.19646938816482	4.38987388146026	52.8603012426829	1.20444051616624e-07	1.24713414728844e-05
"ENSG00000163362"	1.87883582184817	2.62943020321069	52.845762425133	1.20732368942591e-07	1.24713414728844e-05
"ENSG00000136897"	-0.977485882002417	4.32123794767384	52.7457886917257	1.22735228332501e-07	1.24926376747229e-05
"ENSG00000125968"	3.26367599774675	3.14650046505293	52.7352058178864	1.22949334690759e-07	1.24926376747229e-05
"ENSG00000164815"	-1.11061650649535	3.04207120264121	52.7336986257727	1.22979860090033e-07	1.24926376747229e-05
"ENSG00000198821"	-1.31562106195769	5.57180548636372	52.7189759821234	1.23278470848991e-07	1.24926376747229e-05
"ENSG00000125901"	-1.1606977647784	3.66365263199808	52.6964162511891	1.23737556590839e-07	1.24926376747229e-05
"ENSG00000183735"	0.940516778771655	4.38721237439305	52.6803193435707	1.24066253560778e-07	1.24926376747229e-05
"ENSG00000213413"	-1.27414650810583	4.10225615952939	52.573024419635	1.26281434430301e-07	1.26624877662015e-05
"ENSG00000122224"	-1.12790611429474	4.46071244462513	52.5470463160401	1.26824168311637e-07	1.26639216399516e-05
"ENSG00000112245"	1.33010610890984	5.61223797290723	52.3101477750212	1.31891272799912e-07	1.30643530382126e-05
